Primary Particle Size,DataSourceURL,Specific Surface Area,Component Molecular Weight,3D Dimensionality,Material Type,Aromatic,2D Dimensionality,DataSource,source_pdf,Not Aggreg-Agglom,Dendrimer,SingleCrystal,Lipid,Positive Polarity,Molecular Type,UltraPure,Product Name,UpdatedAt,Bulk Density,Molecular Identity,Aggreg-Agglom,Lambda Max,Molecular Weight,source_nano_db,Agglomerated,IsCrystalline,Polymer,dashboard_data_source,NanomaterialID,Monoclinic,Metal,Macrocyclic,Metal Oxide,Mean Hydrodynamic Diameter,Mean Primary Particle Size,Neutral Polarity,Polycrystalline,VHQ-R subset,Negative Polarity,Aggregated,Carbohydrate,Nucleic Acid,Zeta Potential,Purity99+,Protein,CuratedBy,Group Ii-Vi,Group Iv - Non C
0,http://nanoparticlelibrary.net/report.asp?ID=107,0,0,1,Metal,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,Fe,0,0,0,1,1,0,0,nano_database,11,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=108,0,0,1,Mixed Metal (& Alloys),0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,Pt,0,0,0,1,1,0,0,nano_database,12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=11,0,0,0,Swcnt,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2012-11-06,0,C,0,0,0,1,0,0,0,nano_database,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=109,0,0,1,Metal,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-11-24,0,Pt,0,0,0,1,0,0,0,nano_database,13,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=110,0,0,1,Metal,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,Ag,0,0,0,1,1,0,0,nano_database,15,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=114,0,0,0,Metal Oxide,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2012-11-06,0,vanadium oxide,0,0,0,1,0,0,0,nano_database,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=115,120,0,1,Metal,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,Co,1,0,0,1,0,0,0,nano_database,19,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=116,90,0,0,,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-01-15,0,SiC,0,0,0,1,0,0,0,nano_database,20,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=113,0,0,0,Swcnt,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,ethoxide,1,0,0,1,0,0,0,nano_database,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=117,0,0,1,Metal Oxide,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,Fe3O4,0,0,0,1,0,0,0,nano_database,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=111,0,0,1,Metal,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,C,0,0,0,1,1,0,0,nano_database,16,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=118,0,0,1,Metal Oxide,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,Al2O3,0,0,0,1,1,0,0,nano_database,23,0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=12,0,0,0,Swcnt,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-04-15,0,C,0,0,0,1,0,0,0,nano_database,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=120,0,0,0,Nanotube,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,C,1,0,0,1,0,0,0,nano_database,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=13,0,0,0,Metal Oxide,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-04-15,0,Bi2O3,0,0,0,1,0,0,0,nano_database,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=14,0,0,0,Polymer,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,Au,1,0,0,1,0,0,1,nano_database,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=15,0,0,0,Nanotube,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-04-15,0,C,0,0,0,1,0,0,0,nano_database,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=16,0,0,0,Group Iv - Non C,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-04-14,0,Silicate,0,0,0,1,0,1,0,nano_database,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,1
0,http://nanoparticlelibrary.net/report.asp?ID=17,0,0,0,Group Iii-V,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-04-15,0,GaAs,0,0,0,1,0,0,0,nano_database,30,0,0,0,0,0,400,0,1,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=17,0,0,0,Group Iii-V,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-04-15,0,InP,0,0,0,1,0,0,0,nano_database,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=18,0,0,1,Metal,0,0,Nanoparticle Information Library,0,1,0,0,0,0,,0,,2013-03-26,0,Zn,0,0,0,1,0,0,0,nano_database,32,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=19,0,0,0,Metal Oxide,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-04-15,0,Al2O3,0,0,0,1,0,0,0,nano_database,33,0,0,0,1,0,5000,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=2,0,0,1,Metal,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-01-21,0,Ag,0,0,0,1,0,0,0,nano_database,35,0,1,0,0,0,Graphically Represented,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=21,0,0,0,Swcnt,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-04-15,0,C,0,0,0,1,0,0,0,nano_database,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=20,0,0,0,Metal Oxide,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-11-24,0,ZnO,0,0,0,1,0,1,0,nano_database,36,0,0,0,1,0,Graphically Represented,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=22,0,0,0,Mwcnt,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-04-15,0,C,0,0,0,1,0,0,0,nano_database,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=23,0,0,1,Buckyball,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-01-14,0,C,0,0,0,1,0,0,0,nano_database,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=24,2,0,0,Metal,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-04-15,0,Au,0,0,0,1,0,0,0,nano_database,40,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=25,0,0,1,Metal Oxide,0,0,Nanoparticle Information Library,0,1,0,0,0,0,,0,,2013-03-26,0,SiO2,0,0,0,1,0,0,0,nano_database,41,0,0,0,1,0,300,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=2,3,0,0,Metal,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,Cu,1,0,0,1,0,0,0,nano_database,34,0,1,0,0,0,77,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=26,0,0,0,Graphene,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,C,0,0,0,1,0,0,0,nano_database,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=28,0,0,0,Metal Oxide,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-04-15,0,SiO2,0,0,0,1,0,0,0,nano_database,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=27,0,0,1,Metal Oxide,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,Fe/Si/O,1,0,0,1,0,0,0,nano_database,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=29,0,0,0,Metal Oxide,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-04-15,0,MoO3,0,0,0,1,0,1,0,nano_database,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=3,0,0,1,Metal,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,Au,0,0,0,1,1,0,0,nano_database,46,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=30,0,0,1,Group Ii-Vi,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-10-25,0,ZnS,0,0,0,1,0,0,0,nano_database,47,0,0,0,0,0,Graphically Represented,0,0,0,0,0,0,0,0,0,0,DMurry,1,0
0,http://nanoparticlelibrary.net/report.asp?ID=30,0,0,1,Protein,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-10-25,0,peptide 8,0,0,0,1,0,0,0,nano_database,48,0,0,0,0,0,Graphically Represented,0,0,0,0,0,0,0,0,0,1,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=31,0,0,1,Group Iv - Non C,0,0,Nanoparticle Information Library,0,1,0,0,0,0,,0,,2013-03-26,0,Si,0,0,0,1,0,0,0,nano_database,50,0,0,0,0,0,Graphically Represented,0,0,0,0,0,0,0,0,0,0,DMurry,0,1
0,http://nanoparticlelibrary.net/report.asp?ID=32,0,0,0,Metal,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-04-15,0,Fe,0,0,0,1,0,1,0,nano_database,51,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=33,0,0,1,Chalcogenide,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-04-14,0,alkanethiol,0,0,0,1,0,0,0,nano_database,52,0,0,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=30,0,0,1,Biological,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-10-25,0,TOPO,0,0,0,1,0,0,0,nano_database,49,0,0,0,0,0,Graphically Represented,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=35,0,0,1,Group Ii-Vi,0,0,Nanoparticle Information Library,0,1,0,0,0,0,,0,,2013-03-26,0,ZnS,0,0,0,1,0,0,0,nano_database,54,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,DMurry,1,0
0,http://nanoparticlelibrary.net/report.asp?ID=36,0,0,1,Metal,0,0,Nanoparticle Information Library,0,1,0,0,0,0,,0,,2013-03-26,0,Co,0,0,0,1,0,0,0,nano_database,55,0,1,0,0,0,Graphically Represented,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=34,0,0,1,Metal,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,Ru,0,0,0,1,1,0,0,nano_database,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=37,0,0,0,Nanotube,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-10-25,0,C,0,0,0,1,0,0,0,nano_database,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=38,0,0,0,Metal Oxide,0,1,Nanoparticle Information Library,0,1,0,0,0,0,,0,,2013-03-26,0,SiOx,0,0,0,1,0,0,0,nano_database,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=39,0,0,0,Nanotube,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-04-15,0,C,0,0,0,1,0,0,0,nano_database,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=4,0,0,1,Group Ii-Vi,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-04-15,0,CdSe,0,0,0,1,0,0,0,nano_database,59,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,DMurry,1,0
0,http://nanoparticlelibrary.net/report.asp?ID=40,0,0,1,,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,Se,1,0,0,1,0,0,0,nano_database,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=41,0,0,1,Group Iv - Non C,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-04-15,0,Si,0,0,0,1,0,1,0,nano_database,61,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,DMurry,0,1
0,http://nanoparticlelibrary.net/report.asp?ID=42,0,0,0,Nanotube,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-04-15,0,C,0,0,0,1,0,0,0,nano_database,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=43,0,0,1,Mixed Metal (& Alloys),0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,Es2x / Ss7x,2011-04-15,0,Al,0,0,0,1,0,0,0,nano_database,63,0,0,0,0,0,Graphically Represented,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=44,0,0,1,Mixed Metal (& Alloys),0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,Fe,1,0,0,1,0,0,0,nano_database,64,0,0,0,0,0,Graphically Represented,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=45,0,0,1,Group Iv - Non C,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,Si,0,0,0,1,1,0,0,nano_database,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,1
0,http://nanoparticlelibrary.net/report.asp?ID=46,0,0,0,Group Iv - Non C,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,Si,0,0,0,1,1,0,0,nano_database,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,1
0,http://nanoparticlelibrary.net/report.asp?ID=5,0,0,0,Metal,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-04-15,0,Ti,1,0,0,1,0,0,0,nano_database,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=51,0,0,0,Metal Oxide,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,TiO2,1,0,0,1,0,0,0,nano_database,68,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,KMills,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=52,0,0,0,Group Iv - Non C,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-04-14,0,Si,0,0,0,1,0,0,0,nano_database,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,1
0,http://nanoparticlelibrary.net/report.asp?ID=54,0,0,0,Nanotube,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-06-03,0,C,0,0,0,1,0,0,0,nano_database,71,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,KMills,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=55,222.63,0,1,Buckyball,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,C60,1,0,0,1,0,0,0,nano_database,72,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=56,0,0,0,Nanotube,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-06-03,0,C,0,0,0,1,0,0,0,nano_database,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KMills,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=57,0,0,1,Graphite,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,F,0,0,0,1,1,0,0,nano_database,74,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=61,0,0,0,Swcnt,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,C,1,0,0,1,0,0,0,nano_database,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=58,0,0,1,Group Iv - Non C,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-05-10,0,Si,0,0,0,1,0,1,0,nano_database,75,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,DMurry,0,1
0,http://nanoparticlelibrary.net/report.asp?ID=59,0,0,0,Nanotube,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-05-10,0,C,0,0,0,1,0,0,0,nano_database,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=60,0,0,0,Nanotube,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-05-10,0,C,0,0,0,1,0,0,0,nano_database,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=62,0,0,0,Mwcnt,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,C,1,0,0,1,0,0,0,nano_database,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=64,0,0,1,Group Ii-Vi,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-05-10,0,CdSe,0,0,0,1,0,0,0,nano_database,82,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,DMurry,1,0
0,http://nanoparticlelibrary.net/report.asp?ID=65,0,0,1,Group Ii-Vi,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-05-10,0,ZnS,0,0,0,1,0,1,0,nano_database,83,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,DMurry,1,0
0,http://nanoparticlelibrary.net/report.asp?ID=63,0,0,1,Metal Oxide,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2011-05-10,0,SiO2,0,0,0,1,0,0,0,nano_database,81,0,0,0,1,0,90,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=66,0,0,1,Group Iv - Non C,0,0,Nanoparticle Information Library,0,1,0,0,0,0,,0,,2013-03-26,0,PbSe,0,0,0,1,0,0,0,nano_database,84,0,0,0,0,0,Graphically Represented,0,0,0,0,0,0,0,0,0,0,DMurry,0,1
0,http://nanoparticlelibrary.net/report.asp?ID=67,0,0,0,Metal Oxide,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,Al2O3,1,0,0,1,0,0,0,nano_database,85,0,0,0,1,0,Graphically Represented,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=68,20,0,1,Metal Oxide,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,CaO,1,0,0,1,0,0,0,nano_database,86,0,0,0,1,0,Graphically Represented,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=69,0,0,1,Metal Oxide,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,CeO2,0,0,0,1,0,0,0,nano_database,87,0,0,0,1,0,Graphically Represented,0,0,0,0,1,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=7,0,0,1,Metal,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,Ti,1,0,0,1,0,0,0,nano_database,88,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=70,0,0,1,Metal Oxide,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,CuO,0,0,0,1,0,0,0,nano_database,89,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=6,0,0,1,Metal,0,0,Nanoparticle Information Library,0,1,0,0,0,0,,0,,2013-03-26,0,Co,0,0,0,1,0,0,0,nano_database,77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=71,0,0,0,Metal Oxide,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,MgO,0,0,0,1,0,0,0,nano_database,90,0,0,0,1,0,Graphically Represented,0,0,0,0,1,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=72,500,0,0,Metal Oxide,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,TiO2,0,0,0,1,0,0,0,nano_database,91,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,DMurry,0,0
